filename,num_edges,num_vertices,graph_density,num_colors_used_dsatur,dsatur_time,num_colors_used_sat,sat_time_matched_with_dsatur,sat_time,sat_best_solution_iteration_time
1-FullIns_3.col,100,30,0.22988505747126436,4,0.00038130000029923394,4,0.0006117999946582131,0.0006117999946582131,0.0005752000070060603
1-FullIns_4.col,593,93,0.1386161757830762,5,0.0037739999970654026,5,0.0019677999953273684,0.0019677999953273684,0.0018636999957379885
1-FullIns_5.col,3247,282,0.08195149037126777,6,0.042073100004927255,6,0.009030900000652764,0.009030900000652764,0.008669599999848288
1-Insertions_4.col,232,67,0.10492989597467209,5,0.0017133000001194887,5,0.0011343000005581416,0.0011343000005581416,0.0010674999939510599
1-Insertions_5.col,1227,202,0.0604403723954485,6,0.017363599996315315,6,0.004523800002061762,0.004523800002061762,0.004317500002798624
1-Insertions_6.col,6337,607,0.03445501057519261,7,0.19486920000053942,7,0.02125000000523869,0.02125000000523869,0.020529099994746502
2-FullIns_3.col,201,52,0.1515837104072398,5,0.001095500003430061,5,0.0010136999990209006,0.0010136999990209006,0.000956299998506438
2-FullIns_4.col,1621,212,0.07247607976392739,6,0.021858300002350006,6,0.005238500001723878,0.005238500001723878,0.005004300001019146
2-FullIns_5.col,12201,852,0.033655517121530594,7,0.49482179999904474,7,0.03719629999977769,0.03719629999977769,0.03592850000131875
2-Insertions_3.col,72,37,0.10810810810810811,4,0.0005041000040364452,4,0.0005951000057393685,0.0005951000057393685,0.000556500002858229
2-Insertions_4.col,541,149,0.04906584436785779,5,0.008227599995734636,5,0.002183999997214414,0.002183999997214414,0.0020454000041354448
2-Insertions_5.col,3936,597,0.022124043033961757,6,0.15475090000109049,6,0.01312340000004042,0.01312340000004042,0.012526099999377038
3-FullIns_3.col,346,80,0.10949367088607595,6,0.002540099994803313,6,0.0017600000064703636,0.0017600000064703636,0.0016679999971529469
3-FullIns_4.col,3524,405,0.043075418652976406,7,0.0794744000013452,7,0.01331150000623893,0.01331150000623893,0.012833200002205558
3-FullIns_5.col,33751,2030,0.016388475479925318,8,2.816166099997645,8,0.11672120000002906,0.11672120000002906,0.11353879999660421
3-Insertions_3.col,110,56,0.07142857142857142,4,0.0010637000013957731,4,0.0007442999994964339,0.0007442999994964339,0.0006935999990673736
3-Insertions_4.col,1046,281,0.026588713777325877,5,0.02857219999714289,5,0.004545299998426344,0.004545299998426344,0.00430699999560602
3-Insertions_5.col,9695,1406,0.009815584455030044,6,0.8681482000029064,6,0.03211790000204928,0.03211790000204928,0.03071940000518225
4-FullIns_3.col,541,114,0.0839931687626145,7,0.005434399994555861,7,0.0027772999965236522,0.0027772999965236522,0.002655399999639485
4-FullIns_4.col,6650,690,0.027975852422119855,8,0.25439889999688603,8,0.027334200000041164,0.027334200000041164,0.026481600005354267
4-FullIns_5.col,77305,4146,0.008996710535886465,9,14.144243000002461,9,0.2962494000021252,0.2962494000021252,0.2892615999953705
4-Insertions_3.col,156,79,0.05063291139240506,4,0.002050700000836514,4,0.0009315999996033497,0.0009315999996033497,0.0008648000002722256
4-Insertions_4.col,1795,475,0.01594492560515212,5,0.08163619999686489,5,0.006492900000012014,0.006492900000012014,0.006095400000049267
5-FullIns_3.col,792,154,0.06722689075630252,8,0.009832199997617863,8,0.004437299998244271,0.004437299998244271,0.004284899994672742
5-FullIns_4.col,11395,1085,0.01937694492152295,9,0.6418514999968465,9,0.05031009999947855,0.05031009999947855,0.04897260000143433
abb313GPIA.col,65390,1557,0.044160283388579205,10,2.8055068999965442,9,1.1793181999964872,1.4895488999973168,0.3101793999958318
anna.col,986,138,0.05215275573891886,11,0.007710099998803344,11,0.005193800003326032,0.005193800003326032,0.0050579000017023645
ash331GPIA.col,4185,662,0.019109561179390378,6,0.18747580000490416,4,0.0996404999968945,0.11999819999618921,0.008931999997003004
ash608GPIA.col,7844,1216,0.010618366904916613,5,0.6434246999997413,4,0.11359200000151759,0.13042619999760063,0.01680369999667164
ash958GPIA.col,12506,1916,0.006816856266045995,6,1.6122396999999182,4,0.24265890000242507,0.30436780000309227,0.028038099997502286
david.col,812,87,0.10852713178294573,11,0.003400300003704615,11,0.0036103000020375475,0.0036103000020375475,0.0035143999994033948
DSJC1000.1.col,49629,1000,0.09935735735735736,27,1.5825452999997651,25,1.6190299000008963,2.663553899998078,0.5466288000025088
DSJC1000.5.col,249826,1000,0.5001521521521521,115,6.96728059999441,115,93.6599830999985,93.6599830999985,12.947478099995351
DSJC125.1.col,736,125,0.09496774193548387,6,0.006951600000320468,5,0.006747200000972953,0.025785400001041126,0.01902220000192756
DSJC125.5.col,3891,125,0.5020645161290322,22,0.016758300000219606,19,0.09205980000115233,0.48470629999792436,0.2249394000027678
