filename,num_edges,num_vertices,graph_density,num_colors_used_dsatur,dsatur_time,num_colors_used_sat,sat_time_matched_with_dsatur,sat_time,sat_best_solution_iteration_time
1-FullIns_3.col,100,30,0.22988505747126436,4,0.00037709999742219225,4,0.0006298000007518567,0.0006298000007518567,0.0005913999993936159
1-FullIns_4.col,593,93,0.1386161757830762,5,0.0037467000001925044,5,0.0019575999976950698,0.0019575999976950698,0.0018501000013202429
1-FullIns_5.col,3247,282,0.08195149037126777,6,0.04255310000007739,6,0.00938529999984894,0.00938529999984894,0.00900339999498101
1-Insertions_4.col,232,67,0.10492989597467209,5,0.0017473999978392385,5,0.001120900000387337,0.001120900000387337,0.0010523999953875318
1-Insertions_5.col,1227,202,0.0604403723954485,6,0.017275899997912347,6,0.0044493999957921915,0.0044493999957921915,0.004240800000843592
1-Insertions_6.col,6337,607,0.03445501057519261,7,0.19557129999884637,7,0.022028799998224713,0.022028799998224713,0.02128929999889806
2-FullIns_3.col,201,52,0.1515837104072398,5,0.0011192000019946136,5,0.0010376000063843094,0.0010376000063843094,0.0009805000008782372
2-FullIns_4.col,1621,212,0.07247607976392739,6,0.021786400000564754,6,0.005295499999192543,0.005295499999192543,0.005053200002294034
2-FullIns_5.col,12201,852,0.033655517121530594,7,0.4942786999963573,7,0.037580000003799796,0.037580000003799796,0.03633109999645967
2-Insertions_3.col,72,37,0.10810810810810811,4,0.0005039999959990382,4,0.0005948999969405122,0.0005948999969405122,0.0005564999955822714
2-Insertions_4.col,541,149,0.04906584436785779,5,0.008285800002340693,5,0.002162199998565484,0.002162199998565484,0.002020799998717848
2-Insertions_5.col,3936,597,0.022124043033961757,6,0.1546128999980283,6,0.013240499996754806,0.013240499996754806,0.01265840000269236
3-FullIns_3.col,346,80,0.10949367088607595,6,0.0025463999991188757,6,0.0016944000017247163,0.0016944000017247163,0.001608200000191573
3-FullIns_4.col,3524,405,0.043075418652976406,7,0.07991129999572877,7,0.012630700002773665,0.012630700002773665,0.012149399997724686
3-FullIns_5.col,33751,2030,0.016388475479925318,8,2.827040500000294,8,0.11755300000368152,0.11755300000368152,0.11433889999898383
3-Insertions_3.col,110,56,0.07142857142857142,4,0.0010608000011416152,4,0.0007446000017807819,0.0007446000017807819,0.0006924000044818968
3-Insertions_4.col,1046,281,0.026588713777325877,5,0.02869269999791868,5,0.004559299995889887,0.004559299995889887,0.004321300002629869
